plot.no,samp.date,plant.no,samp.type,no.aphids
604,44044,1,flagged,0
604,44044,2,flagged,0
604,44044,3,flagged,0
604,44044,4,flagged,0
604,44044,5,flagged,12
604,44044,1,random,1
604,44044,2,random,0
604,44044,3,random,0
604,44044,4,random,0
604,44044,5,random,1
1106,44044,1,flagged,0
1106,44044,2,flagged,8
1106,44044,3,flagged,0
1106,44044,4,flagged,1
1106,44044,5,flagged,0
1106,44044,1,random,1
1106,44044,2,random,0
1106,44044,3,random,0
1106,44044,4,random,0
1106,44044,5,random,1
1109,44044,1,flagged,0
1109,44044,2,flagged,0
1109,44044,3,flagged,0
1109,44044,4,flagged,0
1109,44044,5,flagged,1
1109,44044,1,random,0
1109,44044,2,random,0
1109,44044,3,random,0
1109,44044,4,random,0
1109,44044,5,random,0
109,44048,1,flagged,8
109,44048,2,flagged,0
109,44048,3,flagged,0
109,44048,4,flagged,19
109,44048,5,flagged,0
109,44048,1,random,0
109,44048,2,random,7
109,44048,3,random,18
109,44048,4,random,3
109,44048,5,random,3
110,44048,1,flagged,8
110,44048,2,flagged,2
110,44048,3,flagged,2
110,44048,4,flagged,2
110,44048,5,flagged,2
110,44048,1,random,2
110,44048,2,random,0
110,44048,3,random,0
110,44048,4,random,2
110,44048,5,random,7
711,44048,1,flagged,0
711,44048,2,flagged,1
711,44048,3,flagged,2
711,44048,4,flagged,2
711,44048,5,flagged,0
711,44048,1,random,4
711,44048,2,random,1
711,44048,3,random,0
711,44048,4,random,0
711,44048,5,random,0
610,44048,1,flagged,0
610,44048,2,flagged,0
610,44048,3,flagged,0
610,44048,4,flagged,0
610,44048,5,flagged,1
610,44048,1,random,3
610,44048,2,random,8
610,44048,3,random,0
610,44048,4,random,5
610,44048,5,random,2
710,44048,1,flagged,0
710,44048,2,flagged,0
710,44048,3,flagged,5
710,44048,4,flagged,0
710,44048,5,flagged,0
710,44048,1,random,0
710,44048,2,random,0
710,44048,3,random,5
710,44048,4,random,31
710,44048,5,random,3
604,44048,1,flagged,9
604,44048,2,flagged,0
604,44048,3,flagged,0
604,44048,4,flagged,3
604,44048,5,flagged,3
604,44048,1,random,0
604,44048,2,random,4
604,44048,3,random,0
604,44048,4,random,0
604,44048,5,random,6
1106,44048,1,flagged,0
1106,44048,2,flagged,20
1106,44048,3,flagged,0
1106,44048,4,flagged,11
1106,44048,5,flagged,0
1106,44048,1,random,8
1106,44048,2,random,3
1106,44048,3,random,0
